data.file,"1-(2-Furanyl)-1,2-butanedione","16,17-Dihydroxy-9(11)-kauren-19-oic acid (i)","16,17-Dihydroxy-9(11)-kauren-19-oic acid (ii)",1-Methyl-2-pyrrolecarboxaldehyde,1-Methyl-2-pyrrolecarboxaldehyde (i),1-Methyl-2-pyrrolecarboxaldehyde (ii),"2,3-Pentanedione",2-Acetyl-5-methylthiophene,2-Ethylthiazole,Dihydroxynicotinamide (i),Dihydroxynicotinamide (ii),2'-Methoxypleurospermine,2-Methyl-5-(1-propenyl)pyrazine,2-Oxobutanoic acid (2-Ketobutyrate),"3-(3,4-Dihydroxyphenyl)-2-propenoic acid","3,4-Dicaffeoylquinic acid lactone","3,4-Dimethyl-1,2-cyclopentanedione",3-Methyl-5-O-Caffeoylquinic acid lactone,4-Coumaric acid,"4-Ethyl-1,2-dimethoxybenzene",4-Methylcatechol,4-O-p-Coumaroylquinic acid 1'-3-Lactone,Adenine,Aspartame (i),Aspartame (ii),Atractyligenin,Baptifoline,Benzenetriol (i),Benzenetriol (ii),Butanedione (iii),Cafamarine,Cafestol,Caffeic acid,Caffeine,Caffeoylquinic acid (i),Caffeoylquinic acid (ii),Caffeoylquinic acid (iii),Caffeoylquinic acid (iv),Caffeoylquinic acid (v),Caffeoylquinic acid derivative (i),Caffeoylquinic acid derivative (ii),Caffeoylquinic acid lactone (i),Caffeoylquinic acid lactone (ii),Campestanol (chalinastanol) (i),Caramel furanone,Cinnamoylglycine,Coixinden A,Coumaroylquinic acid (i),Coumaroylquinic acid (ii),Cyclo(isoleucyl-prolyl) (i),Cyclo(isoleucyl-prolyl) (ii),Cyclo(phenylalanyl-prolyl) (i),Cyclo(phenylalanyl-prolyl) (ii),Cyclo(prolyl-prolyl),Cyclo(prolyl-valyl),Cyclopentanone,Demethoxypleurospermine,"Diacetin (glycerol 1,2-diacetate) (i)","Diacetyl (2,3-Butanedione)",Dicaffeoylquinic acid (i),Dicaffeoylquinic acid (ii),Dihydroxycinnamoyl tryptophan,Ferulic acid,Feruloylquinic acid (i),Feruloylquinic acid (ii),Feruloylquinic acid (iii),Furfuyl alcohol (furanmethanol),Guanosine,Hydroxybenzoic acid (i),Hydroxybenzoic acid (ii),Hydroxycinnamoyl tryptophan,Hydroxyglutarate,Hypoxanthine,Kahweol,Liberine,Linoleic acid,Methionine,Nicotinic acid,Ochratoxin A (i),Ochratoxin A (ii),Paraxanthine,Phenylalanine,Scopoletin,Theobromine,Theophylline,Trigonelline,Trimethylamine,Xanthine
Brew-34.d,673892,273727,690033,170245,136018,384248,127539,204808,15056,178263,359577,283933,40987,184465,621134,8461,281191,3001332,473963,2759792,124295,202188,143972,63553,90014,129800,678428,23384966,4289413,1916187,52330,51236,406042,17112118,8077399,3939021,4892201,1999535,665385,970131,382482,1284437,4556715,393231,1150714,487213,47398,552081,136012,5044482,7684314,1225648,2768320,1919201,1663077,86873,130006,420947,654104,313875,227160,568331,222129,6131888,1673119,994536,609623,57626,1515500,584704,369095,726174,218381,459399,,187124,107162,2842207,122123,28362,,4003055,838088,207060,135381,1042616,507826,137939
Brew-37.d,763277,1907801,5640999,350288,122028,445756,64450,209849,32658,258394,196872,172940,104791,380350,596367,,396674,4826944,708105,4322527,424262,704694,50555,130111,118215,536762,67892,6135594,5766601,450651,503485,475238,404417,32843573,30750698,12956401,16585228,4926111,1782151,2708670,875866,7631982,17049857,361738,1646949,734569,128760,2166952,427569,1278261,1131908,267694,362830,881305,801678,105480,176784,610233,1296199,1104940,869241,513320,556066,13154969,2728261,1032571,439804,242361,1038078,495420,193835,2358766,276758,393014,,181690,42893,4102832,7373,74363,124544,366239,1195168,687572,40254,1076531,641268,199564
Brew-38.d,721849,725904,1163529,404011,227193,459930,180173,389809,44824,647574,827873,422133,337767,525314,541857,365242,746009,5154225,802133,3033144,501713,294818,126791,160914,250239,212418,177456,2414510,7853037,268414,271218,94949,782112,28542561,36397796,17625132,19199371,6815264,2472505,2693048,926096,3601474,9268853,377492,1737414,312818,155235,2338082,765616,6262702,4609992,736549,625600,1357454,2405512,199151,270248,580244,2308643,943395,601465,3146171,98308,29747881,7054277,2679973,799923,558405,1729429,1158525,1124572,3791289,370628,455481,92341,259794,74364,9523772,56289,77097,449177,539916,1167669,1392747,1159281,1041682,665041,356616
Brew-40.d,504222,506961,1163069,343341,144701,372931,107195,111298,11042,128321,252064,92985,118591,151224,603780,195799,261574,2416187,526909,2846993,125643,276414,54121,37262,37076,150176,85932,1240597,3402695,148411,117259,76513,367909,97778418,9071629,3426149,5066194,1445691,470932,987797,282738,2555955,6651441,367758,785082,306554,54930,612867,190669,1848618,1373936,328452,332660,766182,859482,110758,114785,170491,1362286,272726,181364,623985,112519,4548277,1084181,489091,346514,86706,907877,734445,340918,693532,206199,459566,227354,187220,23703,3350310,16620,23338,251190,175198,678303,459944,438865,565125,545571,82746
Brew-43.d,482819,491063,1130339,313736,133974,325652,79979,109164,9360,92143,208249,92464,110663,164541,560510,190218,273262,2294552,479766,2690920,118280,243019,54240,48626,45257,141664,72605,1198965,3267172,150533,113565,68734,413727,97337125,8488825,3259765,4524178,1390548,447533,980277,292005,2308591,6402107,422363,584947,312190,53060,635907,157000,1807766,1287567,334461,328435,737802,776654,93013,85732,181187,1359167,228580,188205,520259,118245,4409064,1030013,482043,358454,84173,895701,688368,304314,653123,206505,380517,120440,174723,29964,4755746,16610,22151,219872,440543,676236,450351,441664,564186,568582,140179
Brew-44.d,815555,855043,1984082,457081,170330,515352,124001,209633,23527,239519,308870,100561,149025,373803,567655,254774,472939,3247580,859637,2117154,249024,507381,78807,104122,83731,260632,71271,4156697,7193316,423885,235184,137743,589044,96976198,20018009,6726840,9849009,3369039,1035680,1900699,523891,5664402,13394024,376344,1663537,585217,158068,1300726,267083,2188052,1864093,278596,369501,1043369,814734,133647,111773,504888,1812220,415427,367594,329488,468294,6919964,1312278,587093,641812,144751,1589476,641241,138615,1725553,306522,436708,63070,176782,37371,4015593,21386,41509,222406,407574,945829,653662,81130,963950,644654,239673
Brew-45.d,631739,827446,2124987,290012,179459,368857,81575,156906,20327,311249,532747,292198,243487,287436,638563,321540,356742,6661385,605271,2466029,221547,428166,82270,74796,64021,242330,129903,4117154,3194496,315801,463887,144234,348953,55758094,20218309,8180221,10959409,2984968,1033228,1790352,634172,4964649,12469832,352384,1202953,353851,91838,1185556,255371,3297346,2478797,474920,480473,940458,1430261,111289,267122,299450,1087684,706293,547716,2334995,127208,14068562,3225719,1146780,445465,292181,1004903,542805,1410765,1242137,323538,415608,248167,189860,43050,5248292,28443,50976,322170,352397,1059993,860166,646688,702196,682024,324739
Brew-47.d,553179,928055,3072640,347399,107327,414935,61777,98134,17559,94273,133751,76820,63629,236739,636393,,269600,2813805,562576,3134256,203795,451092,39919,52362,48493,286299,39149,5663521,4053446,384215,238648,210390,269407,23048092,16500644,5596977,8374739,1963841,652355,1834147,488504,5002934,11714643,371298,1305380,520772,72312,1033092,195955,652511,692560,154564,255089,615844,475051,84734,87288,246555,1115280,453428,397484,259672,373081,5645695,1115453,427698,334203,126755,808186,330090,101912,1183888,196380,339051,,149425,16718,2493656,5525,36282,107278,173596,729197,399334,,695925,640454,135281
Brew-48.d,1939081,2279893,4000169,2061393,413988,2086740,497983,1143910,107151,632199,885502,336753,360691,747701,698216,51598,2250397,6344629,2429908,1372486,546897,817458,241770,131251,423045,731247,355507,6418273,41060091,540892,,469986,2876133,69809340,28950836,13095437,14219883,11147879,3592705,2276158,783447,7472542,18515117,361907,4425858,824266,662761,2400885,714054,8663686,5808671,1338042,1087993,3379711,3656889,403457,426453,2331808,10020927,713443,544634,936177,1151406,15833095,2861565,2649713,2411144,180685,3983025,3278171,451458,4175374,1088621,471532,,196423,444598,24851321,11152,64912,,927331,4036577,1346231,,5365038,608907,665792
Brew-50.d,486256,505255,1166082,341262,127242,344710,108527,92985,11781,167593,252588,97745,122123,138971,600014,192393,275142,2363868,488315,2644360,114159,272953,59378,36637,46158,146848,78134,1202922,3190193,140269,123132,76661,400610,96930524,8761331,3231879,4642677,1352803,439203,1034940,308551,2412155,6515487,357014,952423,301215,51484,573033,140819,1786252,1358143,334043,336005,752540,782162,90161,131942,150056,1411274,226065,181346,578362,175207,4223537,1008391,473958,349123,96979,865887,709039,317627,665814,212797,425620,146735,192458,29246,3033592,14878,25006,179436,163649,644538,423581,400693,553476,508512,141504
