,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93
"Filter,Blend,Medium",487471,503842,1324103,423940,250706,871897,1,60183,188378,134978,132145,116501,716844,212428,527792,1775911,4024214,392756,68524,128996,292635,65174,1,4748976,155042,37430,5998866,1,16570,253464,89936,17836691,5904070,9138659,1749248,584808,4618216,11421772,1059139,472657,894301,153067,1438466,1487265,159852,268228,523523,760157,1,37549,704558,588861,1579560,1883404,518627,238831,9773541,1875474,522091,143460,184901,697000,1325598,205725,462155,1,253623,1,3116429,234109,424369,26968,800280,201927,510425,477777,811395,320404,1,11113,250338,210977,1,138488,73464,148927,1,29014,335041,510465,184492,172128,78430
"Filter,Blend,Medium,Decaf",573832,201156,436138,426031,362773,1129169,1,137039,1,141621,98860,95465,999711,328905,715328,1434482,4537149,796622,1302141,193147,251063,81956,1,4295501,114585,52438,1,3004274,14624,52177,26294,14864758,5637605,8679593,1949779,643592,3909200,10160454,1,509125,754341,166227,1704637,1468937,317867,396785,681031,708652,69516,101262,610065,518676,1363654,1683305,515895,270987,10819985,2266177,898751,371271,145988,376757,1411058,236101,867650,1,276247,30932,6550403,92299,372513,30719,911316,203267,197452,138427,937034,146820,1,14472,333542,262753,1,285689,1,1,153022,153228,338817,550453,206817,130925,48537
"Filter,Blend,Medium,Decaf",404176,363973,989070,407341,213329,867171,1,83397,191927,98122,41309,50313,694402,288616,534668,1027946,3232536,1098560,1,119159,353357,37028,1,4535601,89834,57624,1465789,1,1,86749,67739,9422819,3754972,5687595,1216866,403061,2728084,7190448,4106022,354980,546421,118282,741369,577194,259024,315620,580307,610860,63168,125207,348498,270500,703950,1293495,414777,1440295,6671436,1538633,635248,314634,91104,441112,886879,202058,453531,1,246000,35526,2622576,106757,197490,1,622144,111910,407387,321095,1085256,345701,1,1,145864,105938,1,284221,1,1,100757,57685,290451,1,302302,106705,45588
"French Press,Arabica,Medium",549150,666921,1764972,537989,210585,256770,1,64327,1,49604,68654,111573,1012126,229082,617752,1438593,1710844,1102752,1096605,82904,296682,95188,1,4592319,208905,28975,1,1,1,421875,119397,21481140,6818519,10496712,1658921,733656,4678047,11469973,1965812,628508,1215434,218777,1160234,1471172,89593,186215,505695,603718,1,71880,588841,532241,291723,2680730,642431,686431,6813212,1143096,349826,318250,111018,88074,2057146,142468,884709,1,264577,22060,2660544,165760,362876,11254,1128734,195830,490388,72310,1246169,1,1,1,214269,85905,1,323054,68068,28270,184637,8803,529299,438208,176614,302868,56920
"French Press,Arabica,Medium",557854,1067057,2653108,545995,308788,734020,1,115763,266067,92409,93553,143945,1044839,259139,631744,1128968,3134721,936655,819549,105522,459473,86555,1,4432770,289022,52814,1,3460629,1,432106,194965,20988518,7092964,11534399,2505369,840322,5833297,13602173,981317,619783,1327046,228315,1458161,1575249,144636,262338,666162,661533,39736,77500,605881,538714,246671,2693474,570244,1606279,7389252,1328946,484249,417839,131437,126579,2049907,185139,979997,1,257950,38142,5262410,195602,580293,1,834342,192660,563774,231584,1347902,620277,1,13938,168526,183276,1,128506,69240,82911,179499,1,528130,430829,133095,377105,60243
"French Press,Arabica,Medium",546509,963069,2050609,343766,281737,65599,1,91189,1,79996,71632,115284,521624,286738,607272,1100171,2114196,1341521,1368826,153310,361968,91462,58803,4608550,239178,31816,1,2890777,22956,336342,156381,18245721,6304403,10199073,1987262,755050,4589687,11589267,840464,534227,1332786,222477,1348393,1437225,164193,281329,677967,719919,1,67993,495375,409920,188744,1934385,543174,437341,6564617,1280554,406084,328249,146995,67133,1654361,171893,511795,1,246159,34635,2416487,240124,275465,14501,917101,154955,562549,113331,1293135,1,1,10487,175899,156571,1,1,1,1,169979,1,399822,455972,168787,256290,58885
"French Press,Blend,Medium",516927,549620,1286404,1,366930,1116154,214762,123677,255697,213090,163051,60988,808916,320895,509553,1377760,4607173,788087,1375008,167244,345043,73715,1,4608964,145895,73729,3691254,1,1,291561,85882,12862969,4589521,7134619,1814602,541575,4009806,10195171,1,300484,788453,169317,2291395,1725267,359174,379103,716413,781188,101709,169685,382517,299537,1265858,2008475,422259,1651793,8064089,1762909,746357,385579,204807,827908,1320391,274311,633815,113355,268906,25636,5673927,297764,664549,1,1048540,126758,693719,713816,788254,100044,1,12998,264838,406547,106257,323550,63921,105419,118217,21147,398310,499686,228659,252556,52542
"French Press,Blend,Medium",551378,585015,1044872,408018,313434,1004731,150480,107604,324776,189204,128502,61435,900214,342998,593032,1139452,3902843,765260,1373636,120005,353232,67685,1774,4646413,170375,82814,1536754,3158908,22336,124494,69931,14520430,5314749,7934331,1810585,580240,3759659,9835117,1,304069,859586,162732,2345118,1973683,353745,412690,838044,844431,80524,168520,550985,409458,1683050,1526523,478413,392064,10006628,1975378,666745,430374,197587,724636,1484858,243504,552229,1,280882,41065,8052046,296823,535911,25641,1095946,194517,629385,927353,1035592,151101,1,15198,254783,308013,53889,1,58900,1,120991,268551,411440,592443,329906,161077,57473
"French Press,Blend,Medium",536815,589870,1394281,449294,382765,1032358,1,94621,1,181390,136376,103405,1052752,267841,567853,1628608,4453395,1093680,1911620,168708,412543,71646,1,4840288,177627,43401,1,2984244,11417,263271,73538,19691030,6779675,10411566,1881865,708745,5092225,12315397,819012,472975,1052350,184906,1744159,1752518,188473,298433,627949,598527,69295,64203,767553,686186,1799605,2788503,576367,355945,11180576,2123270,630981,342046,201106,804508,1745295,223248,959434,85970,271384,1,5537824,540931,394359,20630,893813,264529,618487,530609,1123581,214112,1,12374,320477,281624,1,1,62773,34330,171734,1,284634,487201,121731,154385,65512
"Instant,Blend,Dark",612742,449748,620056,402874,227770,36818,1,126539,1,388377,44147,66127,836784,216822,769551,968105,3269772,606259,1430526,150378,1,72070,1,4552083,137536,526984,25324240,2830927,1,153767,39986,12470689,5700034,8091229,2244530,747448,1785534,6109452,874866,471409,719609,172887,4713501,6877122,947605,2158682,1495624,3106965,59204,132567,545800,394975,1869892,1499716,528061,1529201,11327863,2862877,1167208,565916,182288,941560,1434112,248168,516968,1,249411,1,2594307,247689,2877356,1,1006058,135332,576373,684392,688365,292143,1,12897,168748,411727,1,292797,1,1,93501,250669,407899,468118,323567,206301,53666
"Instant,Blend,Light-Medium",761988,589538,1301654,417259,140848,281618,854047,183506,177995,262485,57821,85731,1054063,265848,1127069,1855169,3581749,677162,873926,299322,415604,121799,5029,4398810,196407,374488,38029889,3661387,1,267528,89190,25592884,10705496,14293641,2539408,1071402,3413501,10280012,954760,892944,1395566,300277,4589465,8807686,722208,2560228,1875177,1144164,60691,67306,1455906,1182595,2647280,3643420,929963,547148,17589567,3745314,892947,543920,319909,1362708,2652768,225054,1118730,1,280923,49309,5002448,293085,4811553,55473,1099960,431341,739460,977017,984493,345492,72378,15355,333154,502197,1,261454,135394,1,278351,86423,437547,677150,304363,244458,97486
"Instant,Blend,Light-Medium,Decaf",637367,296479,706337,426132,178056,747823,221350,217655,212998,297549,40346,82616,640626,323986,1089837,1444981,2325361,1,1,181088,1,120774,1,4989713,125992,650342,23429159,4363158,1,24047,51303,8859381,4131954,5518494,2144607,655999,1285755,4680186,1,485255,667451,171518,4921014,7566511,1235175,2714188,1866521,4108489,92155,204861,311329,206148,589826,1351010,340989,321933,6100904,1700809,1040952,616345,55268,379272,977777,181849,132348,1,257330,1,2663292,61786,3796037,1,933696,77168,242799,52300,884439,112852,96474,1,214431,357809,44458,253390,145920,1,84094,1,311454,487551,468367,260899,51858
