"","Formula","Mass","CAS"
"232","C37H42N2O6 ",610.304288,"6817-41-0 "
"233","C37H62O6 ",602.45464,"886437-21-4 "
"234","C38H44N2O6 ",624.319938,"2292-16-2 "
"235","C38H54O20 ",830.32085,"  "
"236","C38H54O24 ",894.30051,"245724-10-1 "
"237","C38H64O16 ",776.41944,"212773-31-4 "
"238","C38H64O17 ",792.414355,"150396-01-3 "
"239","C39H32O15 ",740.174125,"85122-24-3 "
"240","C39H32O15 ",740.174125,"121651-61-4 "
"241","C39H50O24 ",902.26921,"120181-08-0 "
"242","C39H52O25 ",920.279775,"218155-40-9 "
"243","C3H4O2 ",72.02113,"78-98-8 "
"244","C3H6O ",58.041865,"123-38-6 "
"245","C3H6O2 ",74.03678,"109-94-4 "
"246","C3H6OS ",90.013935,"1534-08-3 "
"247","C3H7NO2S",121.0197495,""
"248","C3H8S ",76.03467,"624-89-5 "
"249","C3H8S3 ",139.97881,"31499-71-5 "
"250","C3H9N ",59.073499,"75-50-3 "
"251","C40H56O3 ",584.422945,"512-29-8 "
"252","C40H75NO8 ",697.549269,"127842-89-1 "
"253","C43H36O17 ",824.195255,"94474-72-3 "
"254","C44H52N10O11 ",896.381705,"125756-66-3 "
"255","C44H62O24 ",974.36311,"  "
"256","C44H74O20 ",922.47735,"212773-42-7 "
"257","C44H74O21 ",938.472265,"212773-44-9 "
"258","C45H57N9O11 ",899.417756,"150415-40-0 "
"259","C47H72O16 ",892.48204,"149636-87-3 "
"260","C47H74O17 ",910.492605,"152505-09-4 "
"261","C47H74O18 ",926.48752,"152505-08-3 "
"262","C47H76O18 ",928.50317,"152505-07-2 "
"263","C48H74O17 ",922.492605,"149636-86-2 "
"264","C49H57N9O12 ",963.412671,"150394-23-3 "
"265","C4H10OS ",106.045235,"505-10-2 "
"266","C4H12N2",88.10004839,""
"267","C4H5NS ",99.014269,"693-95-8 "
"268","C4H6O2 ",86.03678,"431-03-8 "
"269","C4H7NO4",133.0375077,""
"270","C4H8N2O3",132.0534921,""
"271","C4H8N4O4 ",176.054556,"99-16-1 "
"272","C4H8O2 ",88.05243,"5077-67-8 "
"273","C4H8O2 ",88.05243,"513-86-0 "
"274","C4H8O2 ",88.05243,"107-92-6 "
"275","C4H9N ",71.073499,"123-75-1 "
"276","C4H9NO3 ",119.058244,"672-15-1 "
"277","C53H82O20 ",1038.53995,"149636-85-1 "
"278","C5H10O ",86.073165,"1730-97-8 "
"279","C5H10O2 ",102.06808,"600-07-7 "
"280","C5H10O2 ",102.06808,"623-42-7 "
"281","C5H10O5",150.0528234,""
"282","C5H10O6",166.047738,""
"283","C5H10OS ",118.045235,"13678-58-5 "
"284","C5H10S ",102.05032,"5287-45-6 "
"285","C5H10S2 ",134.02239,"58384-57-9 "
"286","C5H11NO2S",149.0510496,""
"287","C5H12OS ",120.060885,"34300-94-2 "
"288","C5H12OS ",120.060885,"20582-85-8 "
"289","C5H14NO",104.1075391,""
"290","C5H4N4O",136.0385108,""
"291","C5H4N4O2 ",152.033426,"69-89-6 "
"292","C5H4O2 ",96.02113,"98-01-1 "
"293","C5H5N5",135.054495,""
"294","C5H5NO ",95.037114,"1003-29-8 "
"295","C5H6O2 ",98.03678,"98-00-0 "
"296","C5H6O2 ",98.03678,"41763-99-9 "
"297","C5H6OS ",114.013935,"98-02-2 "
"298","C5H6S ",98.01902,"554-14-3 "
"299","C5H6S ",98.01902,"616-44-4 "
"300","C5H7NO ",97.052764,"7208-05-1 "
"301","C5H7NO ",97.052764,"23012-11-5 "
"302","C5H7NO ",97.052764,"20662-83-3 "
"303","C5H8O ",84.057515,"120-92-3 "
"304","C5H8O2 ",100.05243,"600-14-6 "
"305","C60H102O51",1638.538799,""
"306","C6H10O ",98.073165,"623-36-9 "
"307","C6H10O2 ",114.06808,"3848-24-6 "
"308","C6H10O2 ",114.06808,"7493-58-5 "
"309","C6H10O3 ",130.062995,"  "
"310","C6H10OS ",130.045235,"40878-72-6 "
"311","C6H12N2O4S2",240.0238489,""
"312","C6H12O2 ",116.08373,"624-24-8 "
"313","C6H12O2S ",148.0558,"50746-10-6 "
"314","C6H5NO2",123.0320284,""
"315","C6H6N4O2",166.0490755,""
"316","C6H6N4O2",166.0490755,""
"317","C6H6N4O2",166.0490755,"552-62-5"
"318","C6H6N4O3",166.0490755,""
"319","C6H6N4O3",166.0490755,""
"320","C6H6N4O3",166.0490755,""
"321","C6H6O",94.041865,"108-95-2"
"322","C6H6O2 ",110.03678,"120-80-9 "
"323","C6H6O2 ",110.03678,"108-46-3 "
"324","C6H6O3 ",126.031695,"87-66-1 "
"325","C6H6O3 ",126.031695,"611-13-2 "
